tablename	modifiedPropertyname	propertyDescription	propertyInstances
Agent	AIM chat ID	An AIM chat ID	0
Agent	ICQ chat ID	An ICQ chat ID	0
Agent	MSN chat ID	An MSN chat ID	0
Agent	Skype ID	A Skype ID	0
Agent	Yahoo chat ID	A Yahoo chat ID	0
Agent	account	Indicates an account held by this agent.	0
Agent	account	Indicates an account held by this agent.	0
Agent	age	The age in years of some agent.	0
Agent	birthday	The birthday of this Agent, represented in mm-dd string form, eg. '12-31'.	0
Agent	gender	The gender of this Agent (typically but not necessarily 'male' or 'female').	0
Agent	interest	A page about a topic of interest to this person.	0
Agent	jabber ID	A jabber ID for something.	0
Agent	made	Something that was made by this agent.	0
Agent	openid	An OpenID for an Agent.	0
Agent	personal mailbox	A  personal mailbox, ie. an Internet mailbox associated with exactly one owner, the first owner of this mailbox. This is a 'static inverse functional property', in that  there is (across time and change) at most one individual that ever has any particular value for foaf:mbox.	0
Agent	sha1sum of a personal mailbox URI name	The sha1sum of the URI of an Internet mailbox associated with exactly one owner, the  first owner of the mailbox.	0
Agent	status	A string expressing what the user is happy for the general public (normally) to know about their current activity.	0
Agent	tipjar	A tipjar document for this agent, describing means for payment and reward.	0
Agent	topic_interest	A thing of interest to this person.	0
Agent	weblog	A weblog of some thing (whether person, group, company etc.).	0
Class	constraint	Links a class with constraints on its instances. The values of this property are "axioms" expressed as CONSTRUCT or ASK queries where the variable ?this refers to the instances of the surrounding class. ASK queries must evaluate to false for each member of this class - returning true means that the instance ?this violates the constraint. CONSTRUCT queries must create instances of spin:ConstraintViolation to provide details on the reason for the violation.	6
Class	constructor	Can be used to attach a "constructor" to a class. A constructor is a SPARQL CONSTRUCT query or INSERT/DELETE Update operation that can add initial values to the current instance. At execution time, the variable ?this is bound to the current instance. Tools can call constructors of a class and its superclasses when an instance of a class has been created. Constructors will also be used to initialize resources that have received a new rdf:type triple as a result of spin:rules firing.	1
Class	equivalentClass	The property that determines that two given classes are equivalent, and that is used to specify datatype definitions.	5
Class	intersectionOf	The property that determines the collection of classes or data ranges that build an intersection.	0
Class	oneOf	The property that determines the collection of individuals or data values that build an enumeration.	0
Class	rule	An inferencing rule attached to a class. Rules are expressed as CONSTRUCT queries or INSERT/DELETE operations where the variable ?this will be bound to the current instance of the class. These inferences can be used to derive new values from existing values at the instance.	0
Class	subClassOf	The subject is a subclass of a class.	292
Class	unionOf	The property that determines the collection of classes or data ranges that build a union.	0
Document	primary topic	The primary topic of some page or document.	0
Document	sha1sum (hex)	A sha1sum hash, in hex.	0
Document	topic	A topic of some page or document.	0
Group	member	Indicates a member of a Group	0
Image	depicts	A thing depicted in this representation.	0
Image	thumbnail	A derived thumbnail image.	0
Online Account	account name	Indicates the name (identifier) associated with this online account.	0
Online Account	account service homepage	Indicates a homepage of the service provide for this online account.	0
Person	Surname	The surname of some person.	0
Person	current project	A current project this person works on.	0
Person	familyName	The family name of some person.	0
Person	family_name	The family name of some person.	0
Person	firstName	The first name of a person.	0
Person	geekcode	A textual geekcode for this person, see http://www.geekcode.com/geek.html	0
Person	image	An image that can be used to represent some thing (ie. those depictions which are particularly representative of something, eg. one's photo on a homepage).	0
Person	knows	A person known by this person (indicating some level of reciprocated interaction between the parties).	0
Person	lastName	The last name of a person.	0
Person	myersBriggs	A Myers Briggs (MBTI) personality classification.	0
Person	past project	A project this person has previously worked on.	0
Person	plan	A .plan comment, in the tradition of finger and '.plan' files.	0
Person	publications	A link to the publications of this person.	0
Person	schoolHomepage	A homepage of a school attended by the person.	0
Person	work info homepage	A work info homepage of some person; a page about their work for some organization.	0
Person	workplace homepage	A workplace homepage of some person; the homepage of an organization they work for.	0
Spatial Thing	based near	A location that something is based near, for some broadly human notion of near.	0
Thing	bottomDataProperty	The data property that does not relate any individual to any data value.	0
Thing	bottomObjectProperty	The object property that does not relate any two individuals.	0
Thing	depiction	A depiction of some thing.	0
Thing	differentFrom	The property that determines that two given individuals are different.	0
Thing	funded by	An organization funding a project or person.	0
Thing	homepage	A homepage for some thing.	0
Thing	is primary topic of	A document that this thing is the primary topic of.	0
Thing	logo	A logo representing some thing.	0
Thing	maker	An agent that  made this thing.	0
Thing	name	A name for some thing.	0
Thing	page	A page or document about this thing.	0
Thing	sameAs	The property that determines that two given individuals are equal.	0
Thing	theme	A theme.	0
Thing	topDataProperty	The data property that relates every individual to every data value.	0
Thing	topObjectProperty	The object property that relates every two individuals.	0
dbo.actor_history	actor_history_id		0
dbo.actor_history	actor_id		0
dbo.actor_history	event_date		0
dbo.actor_history	event_text		0
dbo.actor_types	actor_type_id		11
dbo.actor_types	actor_type_text		11
dbo.actors	actor_type_id	Type of actor	216
