table	tablename	tableDescription	instances
foaf:Agent	Agent	An agent (eg. person, group, software or physical artifact).	0
rdfs:Class	Class	The class of classes.	284
foaf:Document	Document	A document.	0
foaf:Group	Group	A class of Agents.	0
foaf:Image	Image	An image.	0
foaf:LabelProperty	Label Property	A foaf:LabelProperty is any RDF property with texual values that serve as labels.	0
owl:Nothing	Nothing	This empty class.	0
foaf:OnlineAccount	Online Account	An online account.	0
foaf:OnlineChatAccount	Online Chat Account	An online chat account.	0
foaf:OnlineEcommerceAccount	Online E-commerce Account	An online e-commerce account.	0
foaf:OnlineGamingAccount	Online Gaming Account	An online gaming account.	0
foaf:Organization	Organization	An organization.	0
foaf:Person	Person	A person.	0
foaf:PersonalProfileDocument	PersonalProfileDocument	A personal profile RDF document.	0
foaf:Project	Project	A project (a collective endeavour of some kind).	0
<http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing>	Spatial Thing		0
owl:Thing	Thing	The class of OWL individuals.	0
vocab:dbo_actor_history	dbo.actor_history		0
vocab:dbo_actor_types	dbo.actor_types		11
vocab:dbo_actors	dbo.actors	This entity models an individual or organisation which performs a defined role with respect to another entity.	216
vocab:dbo_availability	dbo.availability		3
vocab:dbo_byte_orders	dbo.byte_orders		2
vocab:dbo_byte_sequences	dbo.byte_sequences	This entity models individual byte sequences which form an internal signature.	1747
vocab:dbo_component_identification_tool_link	dbo.component_identification_tool_link		11
vocab:dbo_component_manifestation_formats_link	dbo.component_manifestation_formats_link		42
vocab:dbo_component_manifestation_types	dbo.component_manifestation_types		12
vocab:dbo_component_measurement_tool_link	dbo.component_measurement_tool_link		8
vocab:dbo_component_property	dbo.component_property		4
vocab:dbo_component_types	dbo.component_types		7
vocab:dbo_compression_aliases	dbo.compression_aliases		7
vocab:dbo_compression_developers	dbo.compression_developers		4
vocab:dbo_compression_documentation	dbo.compression_documentation		5
vocab:dbo_compression_families	dbo.compression_families	This entity enables technical components to be grouped into conceptual families.	0
vocab:dbo_compression_family_link	dbo.compression_family_link		0
vocab:dbo_compression_identifier_types	dbo.compression_identifier_types	Type of identifier	5
vocab:dbo_compression_identifiers	dbo.compression_identifiers	This entity models external identifiers which may be applied to another entity.	7
vocab:dbo_compression_ipr	dbo.compression_ipr		0
vocab:dbo_compression_relationship_types	dbo.compression_relationship_types	Type of relationship	9
vocab:dbo_compression_relationships	dbo.compression_relationships	Relationships between entities of the same type are defined using a generic relationship	0
vocab:dbo_compression_support	dbo.compression_support		0
vocab:dbo_compression_types	dbo.compression_types	This entity models compression algorithms employed by file formats	17
vocab:dbo_countries	dbo.countries		240
vocab:dbo_document_authors	dbo.document_authors		76
vocab:dbo_document_identifier_types	dbo.document_identifier_types	Type of identifier	15
vocab:dbo_document_identifiers	dbo.document_identifiers	This entity models external identifiers which may be applied to another entity.	43
vocab:dbo_document_ipr	dbo.document_ipr		1
vocab:dbo_document_publishers	dbo.document_publishers		74
vocab:dbo_document_relationship_types	dbo.document_relationship_types	Type of relationship	9
vocab:dbo_document_relationships	dbo.document_relationships	Relationships between entities of the same type are defined using a generic relationship	0
vocab:dbo_document_types	dbo.document_types		3
vocab:dbo_documents	dbo.documents		72
vocab:dbo_dtproperties	dbo.dtproperties	This entity models items of documentation which relate to another entity.	0
vocab:dbo_encoding	dbo.encoding	This entity models character encodings (character maps ) employed by file formats.	28
vocab:dbo_encoding_aliases	dbo.encoding_aliases		0
vocab:dbo_encoding_developer	dbo.encoding_developer		0
vocab:dbo_encoding_documentation	dbo.encoding_documentation		0
vocab:dbo_encoding_families	dbo.encoding_families	This entity enables technical components to be grouped into conceptual families.	0
vocab:dbo_encoding_family_link	dbo.encoding_family_link		0
vocab:dbo_encoding_identifier_types	dbo.encoding_identifier_types	Type of identifier	2
vocab:dbo_encoding_identifiers	dbo.encoding_identifiers	This entity models external identifiers which may be applied to another entity.	0
vocab:dbo_encoding_ipr	dbo.encoding_ipr		0
vocab:dbo_encoding_relationship_types	dbo.encoding_relationship_types	Type of relationship	9
vocab:dbo_encoding_relationships	dbo.encoding_relationships	Relationships between entities of the same type are defined using a generic relationship	0
vocab:dbo_encoding_support	dbo.encoding_support		0
vocab:dbo_external_signature_types	dbo.external_signature_types		3
vocab:dbo_external_signatures	dbo.external_signatures	This entity models signatures which are external to the bitstream of a digital object which may be used to identify file formats.	2021
vocab:dbo_ffsf_fragments	dbo.ffsf_fragments		1
